,ACCESS-CM2,ACCESS-ESM1-5,CAS-ESM2-0,CMCC-CM2-HR4,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-AerChem,EC-Earth3-CC,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,IPSL-CM6A-LR-INCA,MIROC6,MPI-ESM-1-2-HAM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-LM,NorESM2-MM,SAM0-UNICON,TaiESM1
1856-03-15,1.9555975,2.94143,0.0,7.892832,1.0906963,2.1381388,7.996119,1.2021115,0.8111396,0.87904704,1.0114146,5.080215,3.1578815,1.1800913,4.5090413,4.2848635,0.13863559,0.9012991,1.6241105,1.3511733,5.9369516,8.597766,2.81024,3.4184194,8.654165,4.5325284
1856-04-15,5.27851,4.3579636,0.0,10.577272,5.269297,5.5753984,11.291951,2.6588395,2.1162434,2.0115495,2.6565197,8.420428,6.7000394,3.473661,7.3680053,7.4064593,0.93407464,2.1959257,3.8693266,2.5687337,8.897676,12.33851,4.3426595,5.266281,12.669262,7.4753966
1856-05-15,10.080983,7.472937,0.0,13.808403,9.082459,9.7260475,14.017918,5.2074404,4.6748233,3.5122795,5.121464,12.124305,10.636695,8.227158,11.843605,11.191777,1.8181599,3.9543762,7.564259,4.720043,13.2218,17.169827,6.5468597,7.9004297,15.844299,11.282575
1856-06-15,13.654807,11.961209,0.0,16.123772,12.252727,13.019485,16.802237,7.7417073,8.085049,5.8194304,7.8790994,15.274757,14.539962,13.460455,15.418058,15.054012,2.7936387,6.1725006,10.966726,8.020927,17.59964,20.335213,9.069265,10.130456,18.38873,14.336855
1856-07-15,16.097729,15.236786,0.39088765,18.281143,14.699637,15.663593,19.599464,10.562328,10.805298,8.801926,10.463573,17.459734,18.009668,18.454723,18.871614,18.192059,3.8176875,8.766936,14.8632,11.292529,20.48902,22.801582,11.158665,12.450315,19.913605,16.445698
1856-08-15,17.682657,17.197996,1.2244629,19.368341,16.356419,17.349228,20.435692,12.705229,12.5286455,10.933427,12.688314,18.986403,20.37041,20.115667,21.119408,20.428926,4.5850096,11.356822,18.354773,14.298817,22.459192,23.702274,12.367486,14.778047,21.44282,18.154348
1856-09-15,18.522968,18.331232,1.4960227,19.311869,16.743277,17.894348,20.72984,13.353749,12.888198,11.812331,13.863758,19.858759,21.519089,21.20309,22.284786,21.397182,4.4654913,11.862192,20.080423,15.689739,22.911118,24.207508,12.9740505,15.766744,21.948801,18.84803
1856-10-15,18.120922,18.264683,1.685824,19.01291,16.297995,17.350328,19.866665,13.249279,12.322473,11.779146,13.4505005,19.538794,21.831326,18.162668,21.49821,21.25433,4.221301,11.405624,20.179564,15.018006,22.587105,23.651257,12.8812275,15.735698,21.813053,18.702122
1856-11-15,16.572544,16.727432,0.84767795,17.88506,14.912451,16.205128,17.956348,11.175329,10.48435,9.568214,11.045522,18.073269,19.789282,13.363946,20.181488,19.196018,3.456131,9.461517,16.514904,12.220486,21.137194,22.449932,11.159323,11.981417,20.647213,17.882145
1856-12-15,12.752393,11.733808,0.0,16.064863,9.8889065,12.773468,15.070427,7.2272425,5.932181,4.9082556,5.013792,15.483674,13.3551,5.8145285,14.775511,13.7930355,1.4872215,4.5512586,8.154747,6.8216114,17.001242,20.437542,6.942547,7.1104884,18.382298,15.600044
1857-01-15,4.4611254,6.2200265,0.0,11.694846,4.5207787,5.2600207,10.251825,2.4303389,1.3093635,1.2522482,1.1160331,9.554414,4.8644104,1.612022,7.4924493,6.00447,0.23071057,0.78650653,3.7812002,2.3796964,9.2715,14.840559,3.0293365,3.4062405,13.986366,9.759299
1857-02-15,0.47086906,4.1608443,0.0,8.84061,1.5535192,1.2205416,6.295901,0.93273556,0.4643065,0.30869824,0.45522448,4.604187,2.0146127,0.6536752,3.3881202,3.0486052,0.05920417,0.28941682,1.6781187,0.76106393,5.093627,7.44341,2.15122,2.7410614,8.322747,4.202139
1857-03-15,1.0988901,4.1301994,0.0,8.399887,1.9609666,1.7514708,7.6654425,1.0755805,0.7557613,0.7830102,0.7564082,4.87375,2.785005,0.9804464,4.558573,3.7295694,0.21799178,0.9031201,1.9151586,1.0814247,5.552463,7.4395523,2.747912,3.4970365,7.2518854,3.973553
1857-04-15,3.8945656,5.659906,0.0,11.249516,5.0425243,5.593971,10.81992,3.1286583,1.845877,1.8637948,2.1977677,8.3570175,5.965065,3.1266444,7.881015,6.659849,0.8359786,1.9881679,3.7640862,2.7426326,8.721934,11.935993,4.441899,5.2821016,10.901108,7.437442
