,ACCESS-CM2,ACCESS-ESM1-5,CMCC-CM2-SR5,CMCC-ESM2,CanESM5,EC-Earth3,EC-Earth3-CC,EC-Earth3-Veg,EC-Earth3-Veg-LR,FIO-ESM-2-0,GFDL-ESM4,IPSL-CM5A2-INCA,IPSL-CM6A-LR,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorCPM1,NorESM2-MM,SAM0-UNICON,TaiESM1
1754-02-15,1.4969577,3.3197742,0.56685555,1.0627117,8.896194,0.69881374,0.017350452,0.26183972,0.53155804,4.4910383,1.2648437,1.4282585,4.384417,0.06771521,0.98531175,0.73663044,4.4601703,5.60913,2.1668692,9.287047,5.7593718
1754-03-15,1.912056,3.3236089,1.3195866,1.0132401,9.762387,1.2172254,0.294543,0.48274967,0.8102242,4.160113,2.538466,1.8148192,5.483108,0.14599325,1.3536764,1.2674303,5.3596025,5.8158774,2.9708142,8.6067705,5.496525
1754-04-15,3.865076,4.5526104,4.521994,4.1788187,12.368618,2.7683008,1.2615612,1.6431677,2.0111008,8.554449,5.521703,3.90103,9.293186,0.66177887,3.9327793,2.781773,8.148989,9.999623,5.0004725,12.04901,9.008837
1754-05-15,7.028279,7.397196,8.07896,7.600957,15.357334,5.3054485,2.6976602,3.0739396,4.7099886,12.496784,9.100438,8.533077,13.929301,1.4473797,7.660709,5.578472,13.06232,15.131063,7.5236273,15.683317,12.934951
1754-06-15,10.92425,11.744732,10.671555,10.437729,18.729515,8.076279,4.579684,5.103177,8.147122,15.33293,13.003494,12.741131,18.279322,2.5538275,11.501669,9.227068,16.691887,18.946915,10.273941,17.616219,15.543431
1754-07-15,14.034073,14.623644,13.474064,12.784543,21.219063,10.650925,6.5228977,7.9033346,11.478733,17.623943,16.737446,16.908722,20.96533,3.4970078,14.545687,13.81159,19.145184,21.293468,12.687055,19.699059,17.528347
1754-08-15,15.872071,16.407713,15.224638,14.491361,22.29093,12.758838,7.889356,10.431371,13.162569,19.059889,19.523714,20.509426,23.182865,4.145344,18.29772,17.79242,20.79444,22.522121,14.8058815,21.11023,19.450596
1754-09-15,16.960466,17.798843,15.671625,14.972527,23.065075,13.477723,8.761522,11.525063,14.439795,19.703289,21.154987,20.705185,23.947037,4.4478445,19.399847,20.315386,21.539215,23.228718,15.81655,21.742033,19.76326
1754-10-15,17.076769,18.246202,15.167775,15.062441,21.810717,12.697238,8.276127,11.101999,14.666857,19.620665,21.411789,18.812817,23.47115,4.1076264,18.594463,20.041706,21.608799,22.843071,15.054607,21.773079,19.276035
1754-11-15,15.947836,17.293512,13.596825,13.837954,19.900772,10.997843,6.4453707,9.13804,11.597311,18.408602,19.872862,14.121258,21.694475,2.8525057,14.604276,14.355299,20.205048,21.24124,12.025441,20.492668,18.025951
1754-12-15,12.003019,13.092707,8.862214,9.006191,16.872578,6.8267074,3.497221,4.557252,5.676508,15.628823,14.688247,8.091432,15.371641,1.0419891,7.147205,4.9456577,17.025766,18.912556,7.2943234,18.409103,15.442401
1755-01-15,4.717208,5.256753,3.0266125,4.2922716,12.209784,2.0093033,0.74637514,1.0674708,1.144838,9.738535,4.742408,2.4279163,7.0767117,0.1550898,2.8678901,1.5806462,9.025404,12.180577,3.306203,13.352364,10.65765
1755-02-15,1.2823427,3.3876576,0.7540927,0.8174852,8.950581,0.759387,0.015541216,0.38670707,0.419184,4.798316,1.822963,0.90069246,4.1996026,0.018866716,0.8762129,0.76566136,4.188752,5.830709,2.7434754,8.278826,5.687539
1755-03-15,1.8287055,3.2503119,1.562966,0.97071147,9.505623,1.4953325,0.47931477,0.6668708,0.93425196,4.967429,2.6218326,1.2874181,4.863363,0.16320331,1.1190698,1.0893602,5.4432077,6.304831,3.5396905,8.397222,5.436862
1755-04-15,4.5537996,4.533394,4.4011054,4.163613,12.501124,2.9780822,1.5074668,1.8161008,2.0058568,8.435299,5.8580174,4.6326056,7.1956477,0.86318517,3.0801423,2.5372205,9.313113,10.011204,5.3392596,12.038485,8.699671
1755-05-15,8.635977,7.745096,7.749006,8.019091,15.560614,5.2907243,3.33576,3.4029834,3.9398754,12.181948,9.810575,10.028464,11.417997,1.868191,6.053748,4.663663,13.724304,14.397793,8.139507,15.615936,12.31977
1755-06-15,12.4004135,11.587521,10.536974,10.951284,18.62462,7.5455546,4.8867874,6.194187,6.3929725,15.1521225,14.086237,14.472899,15.623516,2.8120878,10.07456,8.445355,17.370346,18.134619,10.498392,18.450989,15.20023
1755-07-15,14.818259,14.645724,12.837875,13.605521,21.091394,9.748717,6.2249484,8.697276,9.75908,17.228054,17.713287,19.101894,19.30172,3.6046278,13.799784,12.46456,20.052158,20.441254,12.758404,20.09845,17.142452
1755-08-15,16.564781,16.77257,14.560125,15.699013,22.779146,12.1585245,7.5263042,10.796867,12.415022,19.025806,20.608244,21.516727,21.757656,3.9703593,17.051815,14.849029,21.548286,22.002396,14.915862,21.541126,18.336668
1755-09-15,17.19059,17.48532,15.469213,16.085335,22.455536,13.4244375,8.022147,11.404199,13.299522,19.546618,21.744204,22.104734,22.985119,4.046344,19.322954,16.780483,22.00423,22.669422,15.759568,22.188557,19.198315
1755-10-15,17.309334,17.120016,15.313017,15.558639,21.650608,12.474453,7.612398,11.426485,13.405496,19.506393,21.84109,19.293938,23.038536,3.8354146,19.607248,15.765381,21.821608,21.99345,15.488366,22.042717,19.053875
1755-11-15,16.137173,15.767867,13.231986,13.463533,20.029846,10.417198,6.099716,10.150123,11.669373,18.390335,19.68454,13.684124,21.153908,2.772508,14.797308,10.662302,20.427483,20.893412,12.508816,20.479294,17.873882
1755-12-15,12.638273,11.253159,8.94178,8.035566,17.424854,6.090419,3.300114,6.0956364,6.8937845,15.766581,14.857828,6.0292144,15.622962,0.8790033,8.090372,5.4408684,17.607244,19.009563,8.224711,17.954998,15.384926
1756-01-15,4.1184855,6.313404,3.7181795,3.5401647,13.779784,1.7378932,0.9620224,0.80815554,1.8107872,10.166319,4.5285563,1.5104687,7.0311127,0.06308379,2.7483199,1.682074,10.332957,10.94171,3.338662,14.653124,11.0316105
1756-02-15,0.63148916,3.4998496,0.87318456,0.5193488,9.710204,1.0979838,0.11803632,0.0549366,0.7533503,4.953782,1.661842,0.8651271,3.4981253,0.011898192,0.5505613,0.51700366,6.29315,6.1340656,2.443781,9.131092,5.635606
1756-03-15,1.3534646,3.3116043,1.9549139,1.296093,10.386458,1.4609542,0.43167266,0.2845025,1.5186727,5.5141926,2.7786267,1.1485593,4.175117,0.10661488,1.1244295,0.8768199,7.1226997,6.9906178,3.2568517,8.284438,5.245655
1756-04-15,4.384082,5.0593452,4.5611944,3.8286386,13.350898,2.3628206,1.7356875,1.4916874,2.7409515,8.894545,5.5977526,3.441271,7.2042537,0.58332723,3.4213386,2.1323297,9.992933,10.804731,5.040791,11.7824135,8.404837
1756-05-15,8.367309,8.441719,8.093456,7.086927,16.740576,4.393232,3.4413965,3.3215122,4.636396,12.631669,9.281079,7.77631,11.997798,1.3396542,6.8676605,4.324057,14.555502,14.794126,7.930875,15.522112,11.60001
1756-06-15,12.039828,12.413612,10.460207,9.914956,19.695324,7.10797,4.6946363,6.3700457,7.2346196,15.384588,12.646214,13.360356,16.364355,2.349372,10.311478,7.1571145,18.089624,18.042871,10.71302,18.461832,14.575492
1756-07-15,14.626464,14.88137,12.999624,12.544408,21.265924,9.921336,6.0501595,8.891142,10.35455,17.744265,16.303036,18.05203,20.064924,3.315602,13.943551,10.3831835,20.39066,20.484905,13.233812,20.477047,16.864094
1756-08-15,16.357378,16.574268,15.198415,14.812891,22.863361,12.213329,6.858694,10.28757,12.475263,18.870098,18.788588,21.511362,22.43456,3.8556929,17.154593,13.251793,21.75158,21.90765,14.891637,21.701986,18.409409
1756-09-15,16.79241,17.308239,16.05225,16.076818,23.61763,13.142939,7.456815,10.9190855,13.58713,19.576782,20.429058,21.607302,23.379795,4.074859,18.880665,15.843658,22.579876,22.394411,15.889132,22.047718,19.191517
1756-10-15,16.163841,17.76715,15.944339,16.032856,22.441378,12.626873,6.811521,10.519109,13.321365,19.462349,20.472294,19.072437,23.210442,3.8312411,19.029657,15.388756,22.31457,21.363262,15.123717,21.792053,19.039513
1756-11-15,15.133936,17.022047,14.231254,14.3839245,20.496098,10.724363,5.2181745,8.666109,11.721617,18.283918,19.077213,14.344927,20.84247,2.7162123,15.871151,9.411857,20.821566,20.017612,12.033987,20.618729,17.7947
1756-12-15,10.660377,13.239243,9.529944,9.350777,17.99088,6.1433754,3.12692,4.2379775,6.49338,15.829687,12.35801,6.4913716,15.835748,0.8479022,8.4575205,4.124919,17.185785,17.281073,6.9208183,18.174227,15.409067
1757-01-15,2.8684292,5.1985474,3.8134935,3.2176473,14.755758,1.9425684,0.46381605,1.2654402,0.95248115,10.078016,3.435837,2.829752,6.773141,0.12706602,3.0036268,1.5505236,8.499357,10.159977,3.492772,14.396015,10.165089
1757-02-15,0.53975993,3.1605053,1.0639338,0.7526724,10.793248,0.8274088,0.085427515,0.46182883,0.065512285,5.2719116,1.4579642,1.5566305,4.0942993,0.008595043,1.3547204,0.5353182,4.5915475,6.9850664,2.887503,8.99595,5.8453975
1757-03-15,0.99745786,3.1399598,1.366447,1.3851964,11.413723,1.4855803,0.21414012,0.84148365,0.49668634,5.76868,2.3078842,1.9999708,5.16102,0.08898169,1.7637308,0.7158912,5.5897226,6.99344,3.4485817,8.455968,5.9130516
1757-04-15,3.774456,4.7412696,3.9373996,3.9717076,14.21317,2.7135277,1.1069298,1.8142453,2.2665834,8.493961,4.7412367,4.974165,8.164446,0.66884696,3.2911925,1.829404,8.859661,10.694946,5.32615,12.376778,9.052792
1757-05-15,7.3951106,8.993963,7.613524,7.324122,17.233091,4.6945405,2.5365121,3.0932026,4.41998,11.769922,8.305937,9.3371525,13.118785,1.5831504,6.467017,3.370967,13.842058,14.930857,7.7382164,15.878963,12.640196
1757-06-15,11.020938,12.738447,10.385408,9.929142,19.59185,7.0419493,4.276316,5.8566213,7.9013357,14.46887,12.369381,14.253729,16.861923,2.7200298,10.190607,5.2770085,17.448425,18.24457,10.684986,18.421333,15.323086
1757-07-15,13.926012,15.710537,13.069265,12.387111,21.703512,9.743938,6.1471334,8.017862,10.449748,16.735802,16.327728,18.951702,20.094803,3.5716312,14.915716,8.289024,20.085213,20.48362,13.545912,19.902594,17.40223
1757-08-15,15.844493,17.53811,14.960897,14.317879,22.939566,12.349305,7.6249022,9.75678,12.6819935,18.758774,19.173298,21.350536,22.169071,4.145943,18.203959,11.182123,22.14359,21.758188,15.783599,21.220613,18.804287
1757-09-15,16.820656,18.523664,16.180567,14.872965,23.350983,13.357364,8.09012,10.634871,13.596823,19.62212,20.536459,20.395115,23.205338,4.3664236,20.118643,13.0760765,22.783054,22.097012,16.587856,22.048153,19.483341
1757-10-15,16.873047,18.581596,15.955572,14.54797,22.281197,13.389037,7.900659,10.67879,13.328205,19.497276,20.370758,18.172588,22.750534,4.0134997,19.870676,12.060441,22.738491,21.326418,14.908108,21.840303,19.390387
1757-11-15,15.572704,17.20725,14.453238,13.580915,20.37718,11.340222,6.015275,9.092857,10.894634,18.28447,18.441753,13.881985,21.466225,3.082709,14.897667,8.045146,20.66855,20.312138,12.262219,20.838161,18.456573
1757-12-15,10.8188715,12.749832,9.931,9.390905,17.841286,5.914989,3.3065042,5.1766295,5.3579645,14.902077,12.16681,7.838278,16.51253,1.2643875,7.729491,4.0581875,17.552292,17.74229,8.305145,19.135616,16.353334
1758-01-15,3.083512,5.7881823,3.815226,3.8844929,14.437035,2.2223015,0.27886853,1.2281286,1.3667467,8.704413,3.7503717,2.5514283,6.833934,0.12022314,3.6740098,1.6040435,9.859535,11.859011,3.8682585,14.3658285,10.404299
1758-02-15,1.3524528,3.1062298,0.41498917,0.3656794,10.128603,0.7355862,0.08902975,0.3034382,0.1707824,4.315618,1.5381837,1.5951625,3.9575136,0.010168921,1.1682234,0.50880086,4.777599,7.370166,2.5874267,7.7145624,5.7811513
1758-03-15,1.4967402,3.0004349,0.94273186,0.72570884,11.067062,1.0969808,0.29745066,0.6733596,0.50169706,4.697337,2.5273097,2.0135858,4.965009,0.063815676,1.4310498,0.7848335,5.942809,7.9907846,3.387331,7.3878794,5.6721773
1758-04-15,3.415343,4.7641544,4.094982,4.2043185,14.055555,2.5913272,1.172118,1.8319055,1.7256837,7.669222,5.378348,4.4332676,8.273298,0.5808592,3.782105,1.8545923,8.916974,11.391449,5.46,11.112906,9.452702
1758-05-15,7.402624,8.199053,7.825189,7.864476,16.741795,4.983247,2.5200477,3.4710052,3.4203384,11.406256,8.704839,9.116034,13.293517,1.3584173,7.0484743,3.7057338,13.990845,15.508425,8.168474,15.134869,13.031343
1758-06-15,11.087942,12.0008955,10.927617,10.573692,19.294031,7.782444,4.090517,5.659301,5.652471,14.424522,11.622226,14.19649,17.779747,2.3893461,10.593653,6.228078,17.974167,18.398842,10.732937,17.758883,15.527857
1758-07-15,14.352929,14.921216,13.189955,13.071415,21.047935,10.470074,5.284076,8.955146,8.354902,16.774872,14.919914,18.768063,21.001026,3.472919,13.901532,9.312186,20.44997,20.621956,13.2013,19.76909,17.302435
1758-08-15,16.087185,16.98197,15.325338,14.747259,22.751003,12.312899,7.5943074,11.065868,11.363464,18.454918,17.912558,21.581112,22.673706,4.0499105,17.338589,12.982867,21.895437,21.775574,14.896914,21.421144,18.463776
1758-09-15,16.624722,18.186798,15.668032,15.193092,23.081692,13.375309,9.046334,12.13435,12.267027,19.481928,19.822874,21.559832,22.877876,4.466219,19.19927,15.743185,22.609894,22.70129,15.459535,21.832954,19.108723
1758-10-15,16.149595,18.276157,15.078688,14.656628,22.425743,12.699279,8.626283,11.893955,11.66414,19.482246,19.519571,19.748451,22.262726,4.1804667,18.572014,15.655621,21.98377,22.250307,15.288352,21.302181,18.935953
1758-11-15,14.429851,17.234184,13.78241,13.3466835,20.368038,10.58009,6.8116,9.99784,9.01359,18.237179,17.217365,15.44243,20.664148,2.701341,14.523241,11.567314,19.893398,20.661375,12.748555,20.530754,17.749603
1758-12-15,9.622831,12.096438,9.304719,9.693781,17.721771,5.370423,3.4743783,4.7006483,4.5955687,15.980612,11.469396,7.678934,14.724861,0.9238757,7.062971,5.3920093,17.838367,18.674755,7.9724627,18.659569,15.341681
1759-01-15,2.9271998,5.3664436,3.4362159,3.8904867,14.355717,1.2766285,0.31577113,0.67706764,0.651595,10.743273,3.2185357,2.5724065,6.93922,0.07370779,1.9704118,1.7750793,10.415738,12.85429,4.1990347,13.023007,11.031404
1759-02-15,1.003448,2.8840785,0.7273226,0.5535628,9.90021,0.6562612,0.023332806,0.01901063,0.1968492,6.128648,0.85224307,1.6092812,3.584185,0.013834162,0.44145933,0.8095413,5.5867395,7.565598,3.0128636,7.055564,5.116837
